pos,corr_resp,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,polygon.started,line1.started,line2.started,line3.started,line4.started,polygon.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
150,v,0,0,0,0,,,,,14,0,56,1,603.480132800003,604.480213199975,604.480213199975,604.480213199975,604.480213199975,604.480213199975,605.4640093999915,605.4640093999915,c,0,3.251774500007741,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
150,v,0,0,0,0,,,,,14,1,57,1,608.7464588999865,609.7465042999829,609.7465042999829,609.7465042999829,609.7465042999829,609.7465042999829,610.7464575999766,610.7464575999766,v,1,0.347102600033395,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-50,x,0,0,0,0,,,,,14,2,58,0,611.1125374999829,612.1123232999817,612.1123232999817,612.1123232999817,612.1123232999817,612.1123232999817,613.112478199997,613.112478199997,x,1,0.6459469000110403,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-50,x,0,0,0,0,,,,,14,3,59,0,613.7791082999902,614.7791788000031,614.7791788000031,614.7791788000031,614.7791788000031,614.7791788000031,615.7793677999871,615.7793677999871,x,1,0.37598079995950684,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
150,v,0,0,0,0,,,,,15,0,60,1,616.1790690000053,617.1791091000196,617.1791091000196,617.1791091000196,617.1791091000196,617.1791091000196,618.1788844999974,618.1788844999974,v,1,0.32001690001925454,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-50,x,0,0,0,0,,,,,15,1,61,0,618.5286339999875,619.5285423999885,619.5285423999885,619.5285423999885,619.5285423999885,619.5285423999885,620.5286321999738,620.5286321999738,x,1,0.3937413999810815,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-150,z,0,0,0,0,,,,,15,2,62,3,620.9453941999818,621.9456455999753,621.9456455999753,621.9456455999753,621.9456455999753,621.9456455999753,622.9455817000126,622.9455817000126,z,1,0.5128065999597311,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-150,z,0,0,0,0,,,,,15,3,63,3,623.4781449000002,624.4780402000179,624.4780402000179,624.4780402000179,624.4780402000179,624.4780402000179,625.4779929000069,625.4779929000069,z,1,0.3969331000116654,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
150,v,0,0,0,0,,,,,16,0,64,1,625.8950340999872,626.8941105999984,626.8941105999984,626.8941105999984,626.8941105999984,626.8941105999984,627.8947244000155,627.8947244000155,v,1,0.4063081999775022,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-50,x,0,0,0,0,,,,,16,1,65,0,628.3278723999974,629.3109601999749,629.3109601999749,629.3109601999749,629.3109601999749,629.3281447999761,630.3277848999714,630.3277848999714,x,1,0.3524714999948628,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-50,x,0,0,0,0,,,,,16,2,66,0,630.7106743999757,631.7110856000218,631.7110856000218,631.7110856000218,631.7110856000218,631.7110856000218,632.7113620999735,632.7113620999735,x,1,0.5812046999926679,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
50,c,0,0,0,0,,,,,16,3,67,2,633.3109719000058,634.3105231999652,634.3105231999652,634.3105231999652,634.3105231999652,634.3105231999652,635.3111118999659,635.3111118999659,c,1,0.5711260000243783,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
150,v,0,0,0,0,,,,,17,0,68,1,635.910679499968,636.9104509999743,636.9104509999743,636.9104509999743,636.9104509999743,636.9104509999743,637.9104654999683,637.9104654999683,v,1,0.3808073999825865,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
150,v,0,0,0,0,,,,,17,1,69,1,638.3100976999849,639.3101441999897,639.3101441999897,639.3101441999897,639.3101441999897,639.3101441999897,640.3101368999924,640.3101368999924,v,1,0.37734539998928085,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
50,c,0,0,0,0,,,,,17,2,70,2,640.7097917000065,641.6935725000221,641.6935725000221,641.6935725000221,641.6935725000221,641.7096281999839,642.7096972999861,642.7096972999861,c,1,0.3782513999613002,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
50,c,0,0,0,0,,,,,17,3,71,2,643.1096302000224,644.1097721999977,644.1097721999977,644.1097721999977,644.1097721999977,644.1097721999977,645.109718599997,645.109718599997,c,1,0.31258309999248013,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-150,z,0,0,0,0,,,,,18,0,72,3,645.4429336999892,646.4430890000076,646.4430890000076,646.4430890000076,646.4430890000076,646.4430890000076,647.4422866000095,647.4422866000095,z,1,0.33393570000771433,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-50,x,0,0,0,0,,,,,18,1,73,0,647.8097616999876,648.8094816000084,648.8094816000084,648.8094816000084,648.8094816000084,648.8094816000084,649.8095248999889,649.8095248999889,x,1,0.4271123000071384,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-150,z,0,0,0,0,,,,,18,2,74,3,650.2586029999657,651.2591572999954,651.2591572999954,651.2591572999954,651.2591572999954,651.2591572999954,652.2584607999888,652.2584607999888,z,1,0.41484600002877414,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
50,c,0,0,0,0,,,,,18,3,75,2,652.6920578000136,653.6921734000207,653.6921734000207,653.6921734000207,653.6921734000207,653.6921734000207,654.6919543999829,654.6919543999829,c,1,0.3810032000183128,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
50,c,0,0,0,0,,,,,19,0,76,2,655.0919928000076,656.0751139000058,656.0751139000058,656.0751139000058,656.0751139000058,656.0919272999745,657.0915897000232,657.0915897000232,c,1,0.3240333999856375,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-50,x,0,0,0,0,,,,,19,1,77,0,657.4414666999946,658.4246276000049,658.4246276000049,658.4246276000049,658.4246276000049,658.441630700021,659.4254295999999,659.4254295999999,x,1,0.5360872000455856,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-50,x,0,0,0,0,,,,,19,2,78,0,659.9916079000104,660.9914056999842,660.9914056999842,660.9914056999842,660.9914056999842,660.9914056999842,661.9912186000147,661.9912186000147,x,1,0.5619124000077136,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
50,c,0,0,0,0,,,,,19,3,79,2,662.5742118000053,663.5741899000132,663.5741899000132,663.5741899000132,663.5741899000132,663.5741899000132,664.5743101999979,664.5743101999979,c,1,0.3734093999955803,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-50,x,0,0,0,0,,,,,20,0,80,0,664.9742332000169,665.9741886999691,665.9741886999691,665.9741886999691,665.9741886999691,665.9741886999691,666.9578999999794,666.9578999999794,x,1,0.4172671999549493,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
150,v,0,0,0,0,,,,,20,1,81,1,667.4070753999986,668.4076340000029,668.4076340000029,668.4076340000029,668.4076340000029,668.4076340000029,669.40783869999,669.40783869999,c,0,0.33223909995285794,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-150,z,0,0,0,0,,,,,20,2,82,3,669.7577434999985,670.757237599988,670.757237599988,670.757237599988,670.757237599988,670.757237599988,671.7573350999737,671.7573350999737,z,1,0.34506530000362545,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
150,v,0,0,0,0,,,,,20,3,83,1,672.1235556000029,673.1232926999801,673.1232926999801,673.1232926999801,673.1232926999801,673.1232926999801,674.1237676999881,674.1237676999881,v,1,0.4158680000109598,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
150,v,0,0,0,0,,,,,21,0,84,1,674.5568844000227,675.5566168000223,675.5566168000223,675.5566168000223,675.5566168000223,675.5566168000223,676.5566784999683,676.5566784999683,v,1,0.3597619999782182,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-150,z,0,0,0,0,,,,,21,1,85,3,676.9396945000044,677.9394593000179,677.9394593000179,677.9394593000179,677.9394593000179,677.9394593000179,678.939195599989,678.939195599989,z,1,0.4653196000144817,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-150,z,0,0,0,0,,,,,21,2,86,3,679.4235432000132,680.4224196000141,680.4224196000141,680.4224196000141,680.4224196000141,680.4224196000141,681.4222787999897,681.4222787999897,z,1,0.41270250000525266,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-150,z,0,0,0,0,,,,,21,3,87,3,681.8560041000019,682.8557290000026,682.8557290000026,682.8557290000026,682.8557290000026,682.8557290000026,683.8558193999925,683.8558193999925,z,1,0.4747370000113733,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
50,c,0,0,0,0,,,,,22,0,88,2,684.3558708999772,685.3556132999947,685.3556132999947,685.3556132999947,685.3556132999947,685.3556132999947,686.3555590999895,686.3555590999895,c,1,0.3848355999798514,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
150,v,0,0,0,0,,,,,22,1,89,1,686.7727612999734,687.7725325999781,687.7725325999781,687.7725325999781,687.7725325999781,687.7725325999781,688.7716136999661,688.7716136999661,v,1,0.3661417000112124,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-50,x,0,0,0,0,,,,,22,2,90,0,689.1551130000153,690.1552501000115,690.1552501000115,690.1552501000115,690.1552501000115,690.1552501000115,691.1550183999934,691.1550183999934,x,1,0.44062220002524555,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-50,x,0,0,0,0,,,,,22,3,91,0,691.6222002999857,692.6220184999984,692.6220184999984,692.6220184999984,692.6220184999984,692.6220184999984,693.6214496999746,693.6214496999746,x,1,0.3556285999948159,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-50,x,0,0,0,0,,,,,23,0,92,0,694.0049188999692,695.004763200006,695.004763200006,695.004763200006,695.004763200006,695.004763200006,696.004914899997,696.004914899997,x,1,0.3933635000139475,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-50,x,0,0,0,0,,,,,23,1,93,0,696.4217235000106,697.4215037999675,697.4215037999675,697.4215037999675,697.4215037999675,697.4215037999675,698.4206587999943,698.4206587999943,x,1,0.28142819995991886,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
50,c,0,0,0,0,,,,,23,2,94,2,698.7209510999965,699.7208009000169,699.7208009000169,699.7208009000169,699.7208009000169,699.7208009000169,700.7207316000131,700.7207316000131,c,1,0.6323329000151716,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
50,c,0,0,0,0,,,,,23,3,95,2,701.370191199996,702.3711135999765,702.3711135999765,702.3711135999765,702.3711135999765,702.3711135999765,703.3702755999984,703.3702755999984,c,1,0.46314159996109083,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-150,z,0,0,0,0,,,,,24,0,96,3,703.8541715000174,704.8538326999987,704.8538326999987,704.8538326999987,704.8538326999987,704.8538326999987,705.8539986999822,705.8539986999822,z,1,0.5142867999966256,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
50,c,0,0,0,0,,,,,24,1,97,2,706.3869958000141,707.3706339999917,707.3706339999917,707.3706339999917,707.3706339999917,707.3870785000036,708.3870366999763,708.3870366999763,c,1,0.4773599000182003,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
150,v,0,0,0,0,,,,,24,2,98,1,708.8864719999838,709.8864791999804,709.8864791999804,709.8864791999804,709.8864791999804,709.8864791999804,710.8865093999775,710.8865093999775,v,1,0.5346836999524385,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
